4000,22,2,3168,0
4000,22,3,3168,0
4000,22,4,3168,0
4000,22,5,3168,0
4000,22,6,0,12672
6000,22,2,10560,0
6000,22,3,10560,0
6000,22,4,11616,0
6000,22,5,11616,0
6000,22,6,0,44352
8000,22,2,17952,0
8000,22,3,17952,0
8000,22,4,17952,0
8000,22,5,19008,0
8000,22,6,0,72864
10000,22,2,25344,0
10000,22,3,26400,0
10000,22,4,26400,0
10000,22,5,26400,0
10000,22,6,0,104544
12000,22,2,32736,0
12000,22,3,32736,0
12000,22,4,33792,0
12000,22,5,33792,0
12000,22,6,0,133056
14000,22,2,41184,0
14000,22,3,41184,0
14000,22,4,41184,0
14000,22,5,41184,0
14000,22,6,0,164736
16000,22,2,47520,0
16000,22,3,48576,0
16000,22,4,48576,0
16000,22,5,48576,0
16000,22,6,0,193248
18000,22,2,55968,0
18000,22,3,55968,0
18000,22,4,55968,0
18000,22,5,57024,0
18000,22,6,0,224928
20000,22,2,63360,0
20000,22,3,63360,0
20000,22,4,63360,0
20000,22,5,63360,0
20000,22,6,0,253440
22000,22,2,70752,0
22000,22,3,70752,0
22000,22,4,71808,0
22000,22,5,71808,0
22000,22,6,0,285120
24000,22,2,78144,0
24000,22,3,78144,0
24000,22,4,78144,0
24000,22,5,79200,0
24000,22,6,0,313632
26000,22,2,85536,0
26000,22,3,86592,0
26000,22,4,86592,0
26000,22,5,86592,0
26000,22,6,0,345312
28000,22,2,92928,0
28000,22,3,92928,0
28000,22,4,93984,0
28000,22,5,93984,0
28000,22,6,0,373824
30000,22,2,100320,0
30000,22,3,100320,0
30000,22,4,100320,0
30000,22,5,101376,0
30000,22,6,0,402336
32000,22,2,107712,0
32000,22,3,108768,0
32000,22,4,108768,0
32000,22,5,108768,0
32000,22,6,0,434016
34000,22,2,115104,0
34000,22,3,115104,0
34000,22,4,116160,0
34000,22,5,116160,0
34000,22,6,0,462528
36000,22,2,123552,0
36000,22,3,123552,0
36000,22,4,123552,0
36000,22,5,123552,0
36000,22,6,0,494208
38000,22,2,129888,0
38000,22,3,130944,0
38000,22,4,130944,0
38000,22,5,130944,0
38000,22,6,0,522720
40000,22,2,138336,0
40000,22,3,138336,0
40000,22,4,138336,0
40000,22,5,139392,0
40000,22,6,0,554400
42000,22,2,145728,0
42000,22,3,145728,0
42000,22,4,145728,0
42000,22,5,145728,0
42000,22,6,0,582912
44000,22,2,153120,0
44000,22,3,153120,0
44000,22,4,154176,0
44000,22,5,154176,0
44000,22,6,0,614592
46000,22,2,160512,0
46000,22,3,160512,0
46000,22,4,160512,0
46000,22,5,161568,0
46000,22,6,0,643104
48000,22,2,167904,0
48000,22,3,168960,0
48000,22,4,168960,0
48000,22,5,168960,0
48000,22,6,0,674784
50000,22,2,175296,0
50000,22,3,175296,0
50000,22,4,176352,0
50000,22,5,176352,0
50000,22,6,0,703296
52000,22,2,183744,0
52000,22,3,183744,0
52000,22,4,183744,0
52000,22,5,183744,0
52000,22,6,0,734976
54000,22,2,190080,0
54000,22,3,191136,0
54000,22,4,191136,0
54000,22,5,191136,0
54000,22,6,0,763488
56000,22,2,198528,0
56000,22,3,198528,0
56000,22,4,198528,0
56000,22,5,199584,0
56000,22,6,0,795168
58000,22,2,205920,0
58000,22,3,205920,0
58000,22,4,205920,0
58000,22,5,205920,0
