MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	39.7%	36.3%	50.9%	50.2%
40	41.7%	38.5%	56.5%	54.5%
50	50.8%	40.4%	59.5%	60.8%
70	59.7%	43.4%	66.3%	67.1%
80	65.1%	46.8%	71.8%	72.3%
90	67.1%	54.7%	76.2%	75.5%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	2.030	1.806	2.261	2.275	1.955	1.710	2.175	2.143
40	2.397	2.042	2.671	2.661	2.296	1.908	2.523	2.521
50	2.869	2.320	3.261	3.244	2.716	2.158	3.064	3.072
70	4.693	3.110	5.093	5.127	4.328	2.817	4.746	4.777
80	6.384	3.937	6.754	6.858	6.081	3.536	6.244	6.454
90	8.594	5.354	8.548	8.676	8.058	4.897	7.966	8.188

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	7.858	6.350	9.285	9.058	8.001	6.345	9.341	8.716
40	9.444	7.218	11.181	10.828	9.434	7.079	11.199	11.129
50	12.702	7.962	15.691	15.050	12.165	8.090	16.222	16.618
70	35.487	10.742	35.874	36.385	33.984	10.647	36.385	36.994
80	55.051	15.422	52.476	52.252	55.941	15.669	52.056	53.622
90	80.613	30.276	68.334	69.882	79.099	30.578	68.078	70.155
