MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	56.6%	45.0%	60.6%	60.3%
40	61.9%	49.3%	66.3%	66.6%
50	66.3%	52.7%	71.5%	70.9%
70	75.7%	62.3%	80.0%	80.5%
80	80.0%	69.1%	83.1%	82.7%
90	82.4%	77.2%	84.7%	84.1%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	1.294	1.238	1.344	1.342	1.170	1.132	1.188	1.186
40	1.456	1.353	1.543	1.537	1.239	1.178	1.264	1.263
50	1.661	1.496	1.829	1.814	1.323	1.230	1.375	1.364
70	2.464	1.978	2.889	2.937	1.701	1.391	1.798	1.809
80	3.262	2.479	3.802	3.821	2.091	1.580	2.218	2.247
90	4.421	3.758	4.996	4.943	2.753	2.173	2.877	2.850

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	5.397	3.961	5.955	5.955	5.241	3.771	5.795	5.697
40	6.819	4.743	7.664	7.537	6.525	4.515	7.351	7.332
50	8.605	5.610	10.097	9.888	8.318	5.369	9.699	9.537
70	16.700	8.604	19.016	19.485	16.101	8.376	18.406	18.649
80	25.659	12.410	28.629	28.863	24.524	12.656	27.444	28.153
90	44.201	24.480	45.130	44.294	40.647	25.529	42.946	42.230
