# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000026000,1,6,3,120,10480,960.00,83840.00
2000026000,1,6,4,120,12576,960.00,100608.00
2000026000,1,6,5,180,12576,1440.00,100608.00
2000026000,1,6,6,12576,720,100608.00,5760.00
2000027000,1,6,1,120,12576,960.00,100608.00
2000027000,1,6,2,180,2096,1440.00,16768.00
2000027000,1,6,3,180,2096,1440.00,16768.00
2000027000,1,6,4,120,0,960.00,0.00
2000027000,1,6,5,120,0,960.00,0.00
2000027000,1,6,6,12576,720,100608.00,5760.00
2000028000,1,6,1,120,9432,960.00,75456.00
2000028000,1,6,2,120,0,960.00,0.00
2000028000,1,6,3,120,0,960.00,0.00
2000028000,1,6,4,180,0,1440.00,0.00
2000028000,1,6,5,180,0,1440.00,0.00
2000028000,1,6,6,12576,720,100608.00,5760.00
2000029000,1,6,1,180,6288,1440.00,50304.00
2000029000,1,6,2,180,0,1440.00,0.00
2000029000,1,6,3,120,0,960.00,0.00
2000029000,1,6,4,120,0,960.00,0.00
2000029000,1,6,5,120,0,960.00,0.00
2000029000,1,6,6,12576,720,100608.00,5760.00
2000030000,1,6,1,120,6288,960.00,50304.00
2000030000,1,6,2,120,0,960.00,0.00
2000030000,1,6,3,180,0,1440.00,0.00
2000030000,1,6,4,180,0,1440.00,0.00
2000030000,1,6,5,120,0,960.00,0.00
2000030000,1,6,6,12576,720,100608.00,5760.00
2000031000,1,6,1,180,6288,1440.00,50304.00
2000031000,1,6,2,120,0,960.00,0.00
2000031000,1,6,3,120,0,960.00,0.00
2000031000,1,6,4,120,0,960.00,0.00
2000031000,1,6,5,180,0,1440.00,0.00
2000031000,1,6,6,12576,720,100608.00,5760.00
2000032000,1,6,1,120,5240,960.00,41920.00
2000032000,1,6,2,180,0,1440.00,0.00
2000032000,1,6,3,180,0,1440.00,0.00
2000032000,1,6,4,120,0,960.00,0.00
2000032000,1,6,5,120,0,960.00,0.00
2000032000,1,6,6,12576,720,100608.00,5760.00
2000033000,1,6,1,120,3144,960.00,25152.00
2000033000,1,6,2,120,0,960.00,0.00
2000033000,1,6,3,120,0,960.00,0.00
2000033000,1,6,4,180,0,1440.00,0.00
2000033000,1,6,5,180,0,1440.00,0.00
2000033000,1,6,6,12576,720,100608.00,5760.00
2000034000,1,6,1,180,3144,1440.00,25152.00
2000034000,1,6,2,180,0,1440.00,0.00
2000034000,1,6,3,120,0,960.00,0.00
2000034000,1,6,4,120,0,960.00,0.00
2000034000,1,6,5,120,0,960.00,0.00
2000034000,1,6,6,12576,720,100608.00,5760.00
2000035000,1,6,1,120,3144,960.00,25152.00
2000035000,1,6,2,120,0,960.00,0.00
2000035000,1,6,3,180,0,1440.00,0.00
2000035000,1,6,4,180,0,1440.00,0.00
2000035000,1,6,5,120,0,960.00,0.00
2000035000,1,6,6,12576,720,100608.00,5760.00
2000036000,1,6,1,180,2096,1440.00,16768.00
2000036000,1,6,2,120,0,960.00,0.00
2000036000,1,6,3,120,0,960.00,0.00
2000036000,1,6,4,120,0,960.00,0.00
2000036000,1,6,5,180,0,1440.00,0.00
2000036000,1,6,6,12576,720,100608.00,5760.00
2000037000,1,6,1,120,2096,960.00,16768.00
2000037000,1,6,2,180,0,1440.00,0.00
2000037000,1,6,3,180,0,1440.00,0.00
2000037000,1,6,4,120,0,960.00,0.00
2000037000,1,6,5,120,0,960.00,0.00
2000037000,1,6,6,12576,720,100608.00,5760.00
2000038000,1,6,1,120,1048,960.00,8384.00
2000038000,1,6,2,120,0,960.00,0.00
2000038000,1,6,3,120,0,960.00,0.00
2000038000,1,6,4,180,0,1440.00,0.00
2000038000,1,6,5,180,0,1440.00,0.00
2000038000,1,6,6,12576,720,100608.00,5760.00
2000039000,1,6,1,180,2096,1440.00,16768.00
2000039000,1,6,2,180,0,1440.00,0.00
2000039000,1,6,3,120,0,960.00,0.00
2000039000,1,6,4,120,0,960.00,0.00
2000039000,1,6,5,120,0,960.00,0.00
2000039000,1,6,6,12576,720,100608.00,5760.00
2000040000,1,6,1,120,1048,960.00,8384.00
2000040000,1,6,2,120,0,960.00,0.00
2000040000,1,6,3,180,0,1440.00,0.00
2000040000,1,6,4,180,0,1440.00,0.00
2000040000,1,6,5,120,0,960.00,0.00
2000040000,1,6,6,12576,720,100608.00,5760.00
2000041000,1,6,1,180,1048,1440.00,8384.00
2000041000,1,6,2,120,0,960.00,0.00
2000041000,1,6,3,120,0,960.00,0.00
2000041000,1,6,4,120,0,960.00,0.00
2000041000,1,6,5,180,0,1440.00,0.00
2000041000,1,6,6,12576,720,100608.00,5760.00
2000042000,1,6,1,120,0,960.00,0.00
2000042000,1,6,2,180,0,1440.00,0.00
2000042000,1,6,3,180,0,1440.00,0.00
2000042000,1,6,4,120,0,960.00,0.00
2000042000,1,6,5,120,0,960.00,0.00
2000042000,1,6,6,12576,720,100608.00,5760.00
2000043000,1,6,1,120,1048,960.00,8384.00
2000043000,1,6,2,120,0,960.00,0.00
2000043000,1,6,3,120,0,960.00,0.00
2000043000,1,6,4,180,0,1440.00,0.00
2000043000,1,6,5,180,0,1440.00,0.00
2000043000,1,6,6,13624,720,108992.00,5760.00
2000044000,1,6,1,180,1048,1440.00,8384.00
2000044000,1,6,2,180,0,1440.00,0.00
2000044000,1,6,3,120,0,960.00,0.00
2000044000,1,6,4,120,0,960.00,0.00
2000044000,1,6,5,120,0,960.00,0.00
2000044000,1,6,6,12576,720,100608.00,5760.00
2000045000,1,6,1,120,0,960.00,0.00
2000045000,1,6,2,120,0,960.00,0.00
2000045000,1,6,3,180,0,1440.00,0.00
2000045000,1,6,4,180,0,1440.00,0.00
2000045000,1,6,5,120,0,960.00,0.00
2000045000,1,6,6,12576,720,100608.00,5760.00
2000046000,1,6,1,180,0,1440.00,0.00
2000046000,1,6,2,180,0,1440.00,0.00
2000046000,1,6,3,120,0,960.00,0.00
2000046000,1,6,4,120,0,960.00,0.00
2000046000,1,6,5,180,0,1440.00,0.00
2000046000,1,6,6,12576,780,100608.00,6240.00
2000047000,1,6,1,120,1048,960.00,8384.00
2000047000,1,6,2,120,0,960.00,0.00
2000047000,1,6,3,180,0,1440.00,0.00
2000047000,1,6,4,180,0,1440.00,0.00
2000047000,1,6,5,120,0,960.00,0.00
2000047000,1,6,6,12576,720,100608.00,5760.00
2000048000,1,6,1,180,0,1440.00,0.00
2000048000,1,6,2,120,0,960.00,0.00
2000048000,1,6,3,120,0,960.00,0.00
2000048000,1,6,4,120,0,960.00,0.00
2000048000,1,6,5,180,0,1440.00,0.00
2000048000,1,6,6,12576,720,100608.00,5760.00
2000049000,1,6,1,120,1048,960.00,8384.00
2000049000,1,6,2,180,0,1440.00,0.00
2000049000,1,6,3,180,0,1440.00,0.00
2000049000,1,6,4,120,0,960.00,0.00
2000049000,1,6,5,120,0,960.00,0.00
2000049000,1,6,6,12576,720,100608.00,5760.00
2000050000,1,6,1,120,0,960.00,0.00
2000050000,1,6,2,120,0,960.00,0.00
2000050000,1,6,3,120,0,960.00,0.00
2000050000,1,6,4,180,0,1440.00,0.00
2000050000,1,6,5,180,0,1440.00,0.00
2000050000,1,6,6,12576,720,100608.00,5760.00
2000051000,1,6,1,180,0,1440.00,0.00
2000051000,1,6,2,180,0,1440.00,0.00
2000051000,1,6,3,120,0,960.00,0.00
2000051000,1,6,4,120,0,960.00,0.00
2000051000,1,6,5,120,0,960.00,0.00
2000051000,1,6,6,12576,720,100608.00,5760.00
2000052000,1,6,1,120,0,960.00,0.00
2000052000,1,6,2,120,0,960.00,0.00
2000052000,1,6,3,180,0,1440.00,0.00
2000052000,1,6,4,180,0,1440.00,0.00
2000052000,1,6,5,120,0,960.00,0.00
2000052000,1,6,6,12576,720,100608.00,5760.00
2000053000,1,6,1,180,0,1440.00,0.00
2000053000,1,6,2,120,0,960.00,0.00
2000053000,1,6,3,120,0,960.00,0.00
2000053000,1,6,4,120,0,960.00,0.00
2000053000,1,6,5,180,0,1440.00,0.00
2000053000,1,6,6,12576,720,100608.00,5760.00
2000054000,1,6,1,120,0,960.00,0.00
2000054000,1,6,2,180,0,1440.00,0.00
2000054000,1,6,3,180,0,1440.00,0.00
2000054000,1,6,4,120,0,960.00,0.00
2000054000,1,6,5,120,0,960.00,0.00
2000054000,1,6,6,12576,720,100608.00,5760.00
2000055000,1,6,1,120,1048,960.00,8384.00
2000055000,1,6,2,120,0,960.00,0.00
2000055000,1,6,3,120,0,960.00,0.00
2000055000,1,6,4,180,0,1440.00,0.00
2000055000,1,6,5,180,0,1440.00,0.00
2000055000,1,6,6,12576,720,100608.00,5760.00
2000056000,1,6,1,180,0,1440.00,0.00
2000056000,1,6,2,180,0,1440.00,0.00
2000056000,1,6,3,120,0,960.00,0.00
2000056000,1,6,4,120,0,960.00,0.00
2000056000,1,6,5,120,0,960.00,0.00
2000056000,1,6,6,12576,720,100608.00,5760.00
2000057000,1,6,1,120,0,960.00,0.00
2000057000,1,6,2,120,0,960.00,0.00
2000057000,1,6,3,180,0,1440.00,0.00
2000057000,1,6,4,180,0,1440.00,0.00
2000057000,1,6,5,120,0,960.00,0.00
2000057000,1,6,6,12576,720,100608.00,5760.00
2000058000,1,6,1,180,0,1440.00,0.00
2000058000,1,6,2,120,0,960.00,0.00
2000058000,1,6,3,120,0,960.00,0.00
2000058000,1,6,4,120,0,960.00,0.00
2000058000,1,6,5,180,0,1440.00,0.00
2000058000,1,6,6,12576,720,100608.00,5760.00
2000059000,1,6,1,120,0,960.00,0.00
2000059000,1,6,2,180,0,1440.00,0.00
2000059000,1,6,3,180,0,1440.00,0.00
2000059000,1,6,4,120,0,960.00,0.00
2000059000,1,6,5,120,0,960.00,0.00
2000059000,1,6,6,12576,720,100608.00,5760.00
2000060000,1,6,1,120,0,960.00,0.00
2000060000,1,6,2,120,0,960.00,0.00
2000060000,1,6,3,120,0,960.00,0.00
2000060000,1,6,4,180,0,1440.00,0.00
2000060000,1,6,5,180,0,1440.00,0.00
2000060000,1,6,6,12576,720,100608.00,5760.00
2000061000,1,6,1,180,0,1440.00,0.00
2000061000,1,6,2,180,0,1440.00,0.00
2000061000,1,6,3,120,0,960.00,0.00
2000061000,1,6,4,120,0,960.00,0.00
2000061000,1,6,5,120,0,960.00,0.00
2000061000,1,6,6,12576,720,100608.00,5760.00
2000062000,1,6,1,120,0,960.00,0.00
2000062000,1,6,2,120,0,960.00,0.00
2000062000,1,6,3,180,0,1440.00,0.00
2000062000,1,6,4,180,0,1440.00,0.00
2000062000,1,6,5,120,0,960.00,0.00
2000062000,1,6,6,12576,720,100608.00,5760.00
2000063000,1,6,1,180,0,1440.00,0.00
2000063000,1,6,2,120,0,960.00,0.00
2000063000,1,6,3,120,0,960.00,0.00
2000063000,1,6,4,120,0,960.00,0.00
2000063000,1,6,5,180,0,1440.00,0.00
2000063000,1,6,6,12576,720,100608.00,5760.00
2000064000,1,6,1,120,0,960.00,0.00
2000064000,1,6,2,180,0,1440.00,0.00
2000064000,1,6,3,180,0,1440.00,0.00
2000064000,1,6,4,120,0,960.00,0.00
2000064000,1,6,5,120,0,960.00,0.00
2000064000,1,6,6,13624,720,108992.00,5760.00
2000065000,1,6,1,120,0,960.00,0.00
2000065000,1,6,2,120,0,960.00,0.00
2000065000,1,6,3,120,0,960.00,0.00
2000065000,1,6,4,180,0,1440.00,0.00
