# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000153000,1,2,2,19008,1080,50688.00,2880.00
2000156000,1,2,1,1080,0,2880.00,0.00
2000156000,1,2,2,19008,1080,50688.00,2880.00
2000159000,1,2,1,1080,0,2880.00,0.00
2000159000,1,2,2,17952,1080,47872.00,2880.00
2000162000,1,2,1,1020,0,2720.00,0.00
2000162000,1,2,2,19008,1020,50688.00,2720.00
2000165000,1,2,1,1080,0,2880.00,0.00
2000165000,1,2,2,19008,1080,50688.00,2880.00
2000168000,1,2,1,1080,0,2880.00,0.00
2000168000,1,2,2,19008,1080,50688.00,2880.00
2000171000,1,2,1,1080,0,2880.00,0.00
2000171000,1,2,2,19008,1080,50688.00,2880.00
2000174000,1,2,1,1080,0,2880.00,0.00
2000174000,1,2,2,19008,1080,50688.00,2880.00
2000177000,1,2,1,1080,0,2880.00,0.00
2000177000,1,2,2,19008,1080,50688.00,2880.00
2000180000,1,2,1,1080,0,2880.00,0.00
2000180000,1,2,2,17952,1080,47872.00,2880.00
2000183000,1,2,1,1020,0,2720.00,0.00
2000183000,1,2,2,19008,1020,50688.00,2720.00
2000186000,1,2,1,1080,0,2880.00,0.00
2000186000,1,2,2,19008,1080,50688.00,2880.00
2000189000,1,2,1,1080,0,2880.00,0.00
2000189000,1,2,2,19008,1080,50688.00,2880.00
2000192000,1,2,1,1080,0,2880.00,0.00
2000192000,1,2,2,19008,1080,50688.00,2880.00
2000195000,1,2,1,1080,0,2880.00,0.00
2000195000,1,2,2,19008,1080,50688.00,2880.00
2000198000,1,2,1,1080,0,2880.00,0.00
2000198000,1,2,2,19008,1080,50688.00,2880.00
2000201000,1,2,1,1080,0,2880.00,0.00
2000201000,1,2,2,17952,1080,47872.00,2880.00
2000204000,1,2,1,1020,0,2720.00,0.00
2000204000,1,2,2,19008,1020,50688.00,2720.00
2000207000,1,2,1,1080,0,2880.00,0.00
