timestamp_s,avg_tx_mbps,total_tx_mbps,avg_rx_mbps,total_rx_mbps
1e-05,4881.0666666666675,43929.600000000006,14173.866666666667,127564.8
2e-05,10171.199999999999,122054.4,20097.600000000002,241171.2
3e-05,9657.599999999999,125548.79999999999,18820.430769230767,244665.59999999998
4e-05,9817.107692307693,127622.4,19174.89230769231,249273.6
5e-05,9752.123076923077,126777.6,18914.953846153847,245894.4
6e-05,9752.123076923077,126777.6,19109.90769230769,248428.8
7e-05,9820.8,127670.4,18983.63076923077,246787.2
8e-05,9687.138461538461,125932.79999999999,18849.969230769228,245049.59999999998
9e-05,9817.107692307693,127622.4,19174.89230769231,249273.6
0.0001,9752.123076923077,126777.6,18914.953846153847,245894.4
0.00011,9752.123076923077,126777.6,19109.90769230769,248428.8
0.00012,9820.8,127670.4,18983.63076923077,246787.2
0.00013,9873.969230769231,128361.6,17871.507692307692,232329.59999999998
0.00014,9834.030769230769,127842.4,7026.461538461538,91344.0
0.00015,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00016,9752.123076923077,126777.6,6632.861538461539,86227.2
0.00017,9820.8,127670.4,6766.5230769230775,87964.8
0.00018,9683.446153846153,125884.79999999999,6629.16923076923,86179.2
0.00019,9820.8,127670.4,6701.538461538462,87120.0
0.0002,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00021,9752.123076923077,126777.6,6632.861538461539,86227.2
0.00022,9752.123076923077,126777.6,6957.784615384615,90451.2
0.00023,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00024,9820.8,127670.4,6701.538461538462,87120.0
0.00025,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00026,9752.123076923077,126777.6,6632.861538461539,86227.2
0.00027,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00028,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00029,9752.123076923077,126777.6,6632.861538461539,86227.2
0.0003,9820.8,127670.4,7026.461538461538,91344.0
0.00031,9687.138461538461,125932.79999999999,6632.861538461539,86227.2
0.00032,9817.107692307693,127622.4,6697.846153846154,87072.0
0.00033,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00034,9752.123076923077,126777.6,6632.861538461539,86227.2
0.00035,9820.8,127670.4,6766.5230769230775,87964.8
0.00036,9687.138461538461,125932.79999999999,6632.861538461539,86227.2
0.00037,9817.107692307693,127622.4,6697.846153846154,87072.0
0.00038,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00039,9752.123076923077,126777.6,6892.799999999999,89606.4
0.0004,9820.8,127670.4,6766.5230769230775,87964.8
0.00041,9683.446153846153,125884.79999999999,6629.16923076923,86179.2
0.00042,9820.8,127670.4,6701.538461538462,87120.0
0.00043,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00044,9752.123076923077,126777.6,6632.861538461539,86227.2
0.00045,9820.8,127670.4,6766.5230769230775,87964.8
0.00046,9683.446153846153,125884.79999999999,6629.16923076923,86179.2
0.00047,9820.8,127670.4,6961.4769230769225,90499.2
0.00048,9752.123076923077,126777.6,6697.846153846154,87072.0
0.00049,9752.123076923077,126777.6,6632.861538461539,86227.2
0.0005,9817.107692307693,127622.4,6762.83076923077,87916.8
0.00051,9687.138461538461,125932.79999999999,6632.861538461539,86227.2
0.00052,5011.9384615384615,65155.200000000004,4492.0615384615385,58396.8
0.00053,376.61538461538464,4896.0,376.61538461538464,4896.0
0.00054,24.0,48.0,24.0,48.0
0.00056,1126.3999999999999,10137.599999999999,1126.3999999999999,10137.599999999999
0.00057,43.63636363636363,480.0,43.63636363636363,480.0
0.00058,24.0,96.0,24.0,96.0
0.00064,844.8000000000001,5913.6,844.8000000000001,5913.6
0.00065,873.6,4368.0,873.6,4368.0
0.00066,36.0,432.0,36.0,432.0
0.0007,724.1142857142856,5068.799999999999,724.1142857142856,5068.799999999999
0.00071,1042.56,5212.799999999999,1042.56,5212.799999999999
0.00072,36.0,432.0,36.0,432.0
0.00075,938.6666666666666,8448.0,938.6666666666666,8448.0
0.00076,289.37142857142857,2025.6,289.37142857142857,2025.6
0.00077,30.0,240.0,30.0,240.0
0.00079,1126.3999999999999,10137.599999999999,1126.3999999999999,10137.599999999999
0.0008,43.63636363636363,480.0,43.63636363636363,480.0
0.00081,24.0,96.0,24.0,96.0
0.00082,844.8,7603.2,844.8,7603.2
0.00083,403.2,2822.4,403.2,2822.4
0.00084,28.8,288.0,28.8,288.0
0.00085,1032.5333333333333,9292.8,1032.5333333333333,9292.8
0.00086,141.86666666666667,1276.8,141.86666666666667,1276.8
0.00087,859.2,8592.0,859.2,8592.0
0.00088,289.37142857142857,2025.6,289.37142857142857,2025.6
0.00089,653.6,7843.2,653.6,7843.2
0.0009,403.2,2822.4,403.2,2822.4
0.00091,868.7999999999998,10425.599999999999,868.7999999999998,10425.599999999999
0.00092,251.20000000000002,3014.4,251.19999999999996,3014.3999999999996
0.00093,968.4,7747.2,968.4,7747.2
0.00094,755.4461538461538,9820.8,755.4461538461538,9820.8
0.00095,528.8,6345.599999999999,528.8,6345.599999999999
0.00096,717.3818181818182,7891.2,717.3818181818181,7891.199999999999
0.00097,686.7692307692307,8928.0,686.7692307692307,8928.0
0.00098,755.4461538461538,9820.8,755.4461538461538,9820.8
0.00099,751.7538461538461,9772.8,751.7538461538461,9772.8
0.001,751.7538461538461,9772.8,751.7538461538461,9772.8
0.00101,820.4307692307691,10665.599999999999,820.4307692307691,10665.599999999999
0.00102,755.4461538461538,9820.8,755.4461538461538,9820.8
0.00103,889.1076923076923,11558.4,889.1076923076923,11558.4
