timestamp_s,avg_tx_mbps,total_tx_mbps,avg_rx_mbps,total_rx_mbps
2.000002,50304.0,100608.0,50304.0,100608.0
2.000003,50304.0,100608.0,50304.0,100608.0
2.000004,52944.0,105888.0,52944.0,105888.0
2.000005,53184.0,106368.0,53184.0,106368.0
2.000006,53184.0,106368.0,53184.0,106368.0
2.000007,53184.0,106368.0,53184.0,106368.0
2.000008,53184.0,106368.0,53184.0,106368.0
2.000009,53184.0,106368.0,53184.0,106368.0
2.00001,53184.0,106368.0,53184.0,106368.0
2.000011,53184.0,106368.0,53184.0,106368.0
2.000012,17728.0,106368.0,84800.0,508800.0
2.000013,17728.0,106368.0,84800.0,508800.0
2.000014,17728.0,106368.0,84800.0,508800.0
2.000015,17728.0,106368.0,84800.0,508800.0
2.000016,17728.0,106368.0,84800.0,508800.0
2.000017,17728.0,106368.0,84800.0,508800.0
2.000018,17728.0,106368.0,84800.0,508800.0
2.000019,17728.0,106368.0,84800.0,508800.0
2.00002,17728.0,106368.0,84800.0,508800.0
2.000021,17728.0,106368.0,84800.0,508800.0
2.000022,19125.333333333332,114752.0,86197.33333333333,517184.0
2.000023,17728.0,106368.0,84800.0,508800.0
2.000024,17728.0,106368.0,84800.0,508800.0
2.000025,17808.0,106848.0,84880.0,509280.0
2.000026,17728.0,106368.0,84800.0,508800.0
2.000027,17728.0,106368.0,17728.0,106368.0
2.000028,17728.0,106368.0,17728.0,106368.0
2.000029,17728.0,106368.0,17728.0,106368.0
2.00003,17728.0,106368.0,17728.0,106368.0
2.000031,17728.0,106368.0,17728.0,106368.0
2.000032,17728.0,106368.0,17728.0,106368.0
2.000033,17728.0,106368.0,17728.0,106368.0
2.000034,17728.0,106368.0,17728.0,106368.0
2.000035,17728.0,106368.0,17728.0,106368.0
2.000036,17728.0,106368.0,17728.0,106368.0
2.000037,17728.0,106368.0,17728.0,106368.0
2.000038,17728.0,106368.0,17728.0,106368.0
2.000039,17728.0,106368.0,17728.0,106368.0
2.00004,17728.0,106368.0,17728.0,106368.0
2.000041,17728.0,106368.0,17728.0,106368.0
2.000042,17728.0,106368.0,17728.0,106368.0
2.000043,19125.333333333332,114752.0,19125.333333333332,114752.0
2.000044,17728.0,106368.0,17728.0,106368.0
2.000045,17728.0,106368.0,17728.0,106368.0
2.000046,17808.0,106848.0,17808.0,106848.0
2.000047,17728.0,106368.0,17728.0,106368.0
2.000048,17728.0,106368.0,17728.0,106368.0
2.000049,17728.0,106368.0,17728.0,106368.0
2.00005,17728.0,106368.0,17728.0,106368.0
