node_type,node_id,port_id,port_name,avg_tx_util,max_tx_util,avg_rx_util,max_rx_util,link_bw_mbps
Switch,6,1,S6-P1,2.9447852760736195,5.76,51.434130879345595,108.99,100000
Switch,6,2,S6-P2,1.2831683168316832,4.8,22.41306930693069,100.61,100000
Switch,6,3,S6-P3,1.296,1.92,22.637249999999998,100.61,100000
Switch,6,4,S6-P4,1.296,1.92,22.637249999999998,100.61,100000
Switch,6,5,S6-P5,1.2895522388059701,1.92,22.52457711442786,100.61,100000
Switch,6,6,S6-P6,71.03630541871921,108.99,4.066995073891626,6.24,100000
